IP 排序（最优秀的排在最上面）:
IP: 172.64.232.115, Ping时间: 382.0 ms, 访问时间: 0.7707369327545166 s
IP: 172.64.232.255, Ping时间: 396.0 ms, 访问时间: 0.8352282047271729 s
IP: 162.159.80.164, Ping时间: 388.0 ms, 访问时间: 0.7986161708831787 s
IP: 172.64.232.204, Ping时间: 470.0 ms, 访问时间: 0.9423432350158691 s
IP: 162.159.80.61, Ping时间: 352.0 ms, 访问时间: 1.7080183029174805 s
IP: 162.159.80.18, Ping时间: 398.0 ms, 访问时间: 0.8152933120727539 s
IP: 162.159.80.150, Ping时间: 418.0 ms, 访问时间: 0.8858630657196045 s
IP: 162.159.80.173, Ping时间: 450.0 ms, 访问时间: 1.8684380054473877 s
IP: 162.159.80.225, Ping时间: 348.0 ms, 访问时间: 0.7070217132568359 s
IP: 172.64.232.68, Ping时间: 459.0 ms, 访问时间: 0.9166140556335449 s
IP: 162.159.80.242, Ping时间: 424.0 ms, 访问时间: 0.8563232421875 s
IP: 172.64.232.19, Ping时间: 421.0 ms, 访问时间: 1.3699491024017334 s
IP: 172.64.232.156, Ping时间: 391.0 ms, 访问时间: 0.7538187503814697 s
IP: 162.159.80.64, Ping时间: 366.0 ms, 访问时间: 0.7762038707733154 s
IP: 172.64.232.204, Ping时间: 369.0 ms, 访问时间: 0.7874977588653564 s
IP: 172.64.232.217, Ping时间: 362.0 ms, 访问时间: 0.8255858421325684 s
IP: 172.64.232.232, Ping时间: 359.0 ms, 访问时间: 0.6865122318267822 s
IP: 104.16.164.228, Ping时间: 63.1 ms, 访问时间: 0.13443636894226074 s
IP: 162.159.80.122, Ping时间: 370.0 ms, 访问时间: 0.7216622829437256 s
IP: 162.159.80.13, Ping时间: 383.0 ms, 访问时间: 0.76426100730896 s
IP: 162.159.80.1, Ping时间: 365.0 ms, 访问时间: 0.7525455951690674 s
IP: 104.18.13.147, Ping时间: 63.9 ms, 访问时间: 0.13472294807434082 s
IP: 104.20.22.46, Ping时间: 65.4 ms, 访问时间: 0.13269972801208496 s
IP: 172.64.232.16, Ping时间: 387.0 ms, 访问时间: 0.7399623394012451 s
IP: 162.159.80.135, Ping时间: 372.0 ms, 访问时间: 0.725961446762085 s
IP: 172.64.232.63, Ping时间: 367.0 ms, 访问时间: 0.7286860942840576 s
IP: 162.159.80.110, Ping时间: 342.0 ms, 访问时间: 0.8484339714050293 s
IP: 172.64.232.126, Ping时间: 439.0 ms, 访问时间: 0.8646285533905029 s
IP: 162.159.80.41, Ping时间: 352.0 ms, 访问时间: 0.690178632736206 s
IP: 172.64.232.173, Ping时间: 431.0 ms, 访问时间: 0.7413523197174072 s
IP: 162.159.80.249, Ping时间: 341.0 ms, 访问时间: 0.6926553249359131 s
IP: 162.159.80.232, Ping时间: 447.0 ms, 访问时间: 0.7103714942932129 s
IP: 172.64.232.9, Ping时间: 404.0 ms, 访问时间: 0.8465285301208496 s
IP: 172.64.232.143, Ping时间: 342.0 ms, 访问时间: 0.6868183612823486 s
IP: 162.159.80.186, Ping时间: 342.0 ms, 访问时间: 0.7288796901702881 s
IP: 172.64.232.20, Ping时间: 361.0 ms, 访问时间: 1.0460453033447266 s
IP: 172.64.232.95, Ping时间: 376.0 ms, 访问时间: 0.7517924308776855 s
IP: 162.159.80.5, Ping时间: 381.0 ms, 访问时间: 1.24583101272583 s
IP: 172.64.232.164, Ping时间: 389.0 ms, 访问时间: 0.7876384258270264 s
IP: 172.64.232.182, Ping时间: 382.0 ms, 访问时间: 0.7667288780212402 s
IP: 172.64.232.62, Ping时间: 362.0 ms, 访问时间: 0.7209374904632568 s
IP: 162.159.80.117, Ping时间: 415.0 ms, 访问时间: 0.8439955711364746 s
IP: 162.159.80.109, Ping时间: 359.0 ms, 访问时间: 1.741377353668213 s
IP: 162.159.80.36, Ping时间: 452.0 ms, 访问时间: 0.8481504917144775 s
IP: 172.64.232.97, Ping时间: 444.0 ms, 访问时间: 1.4116594791412354 s
IP: 172.64.232.121, Ping时间: 422.0 ms, 访问时间: 0.7331387996673584 s
IP: 172.64.232.105, Ping时间: 390.0 ms, 访问时间: 0.8145105838775635 s
IP: 172.64.232.60, Ping时间: 356.0 ms, 访问时间: 0.7621963024139404 s
IP: 104.26.5.82, Ping时间: 65.4 ms, 访问时间: 0.13371658325195312 s
IP: 172.65.90.15, Ping时间: 214.0 ms, 访问时间: 1.2543830871582031 s
IP: 162.159.80.247, Ping时间: 476.0 ms, 访问时间: 0.965487003326416 s
IP: 162.159.80.203, Ping时间: 477.0 ms, 访问时间: 1.1409673690795898 s
IP: 162.159.80.103, Ping时间: 430.0 ms, 访问时间: 0.8874008655548096 s
IP: 162.159.80.206, Ping时间: 442.0 ms, 访问时间: 0.7272913455963135 s
IP: 172.64.232.8, Ping时间: 407.0 ms, 访问时间: 1.6218438148498535 s
IP: 162.159.80.12, Ping时间: 358.0 ms, 访问时间: 0.7238149642944336 s
IP: 172.64.232.213, Ping时间: 421.0 ms, 访问时间: 0.7489497661590576 s
IP: 162.159.80.133, Ping时间: 347.0 ms, 访问时间: 0.7023396492004395 s
IP: 162.159.80.146, Ping时间: 371.0 ms, 访问时间: 0.7390086650848389 s
IP: 172.64.232.195, Ping时间: 351.0 ms, 访问时间: 0.7295942306518555 s
IP: 162.159.80.99, Ping时间: 349.0 ms, 访问时间: 0.7195284366607666 s
IP: 162.159.80.114, Ping时间: 366.0 ms, 访问时间: 1.7764520645141602 s
IP: 172.64.232.56, Ping时间: 375.0 ms, 访问时间: 0.7516958713531494 s
IP: 162.159.80.70, Ping时间: 358.0 ms, 访问时间: 1.7348439693450928 s
IP: 172.64.232.92, Ping时间: 356.0 ms, 访问时间: 0.7819921970367432 s
IP: 172.64.232.93, Ping时间: 372.0 ms, 访问时间: 0.7548341751098633 s
IP: 162.159.80.144, Ping时间: 367.0 ms, 访问时间: 0.7494730949401855 s
IP: 172.64.232.137, Ping时间: 362.0 ms, 访问时间: 0.7748239040374756 s
IP: 172.64.232.188, Ping时间: 381.0 ms, 访问时间: 0.7623739242553711 s
IP: 162.159.80.229, Ping时间: 360.0 ms, 访问时间: 0.7223672866821289 s
IP: 162.159.80.123, Ping时间: 367.0 ms, 访问时间: 0.7563464641571045 s
IP: 162.159.80.253, Ping时间: 359.0 ms, 访问时间: 1.7975611686706543 s
IP: 162.159.80.220, Ping时间: 353.0 ms, 访问时间: 0.7344884872436523 s
IP: 162.159.80.242, Ping时间: 380.0 ms, 访问时间: 0.7615430355072021 s
IP: 172.64.232.15, Ping时间: 345.0 ms, 访问时间: 0.6955654621124268 s
IP: 172.64.232.40, Ping时间: 390.0 ms, 访问时间: 0.7535369396209717 s
IP: 162.159.80.95, Ping时间: 352.0 ms, 访问时间: 0.7422587871551514 s
IP: 172.64.232.207, Ping时间: 362.0 ms, 访问时间: 0.7407615184783936 s
IP: 172.64.232.245, Ping时间: 390.0 ms, 访问时间: 0.7093679904937744 s
IP: 172.64.232.61, Ping时间: 345.0 ms, 访问时间: 0.7133641242980957 s
IP: 172.64.232.100, Ping时间: 383.0 ms, 访问时间: 0.7317659854888916 s
IP: 162.159.80.97, Ping时间: 363.0 ms, 访问时间: 1.7280986309051514 s
IP: 172.64.232.25, Ping时间: 362.0 ms, 访问时间: 0.745530366897583 s
IP: 162.159.80.40, Ping时间: 361.0 ms, 访问时间: 0.8065237998962402 s
IP: 172.64.232.45, Ping时间: 385.0 ms, 访问时间: 0.7277283668518066 s
IP: 162.159.80.50, Ping时间: 377.0 ms, 访问时间: 0.7235956192016602 s
IP: 162.159.80.161, Ping时间: 370.0 ms, 访问时间: 1.7500653266906738 s
IP: 172.64.232.46, Ping时间: 346.0 ms, 访问时间: 0.710240364074707 s
IP: 172.64.232.91, Ping时间: 375.0 ms, 访问时间: 0.7403697967529297 s
IP: 162.159.80.224, Ping时间: 359.0 ms, 访问时间: 0.7365314960479736 s
IP: 172.64.232.173, Ping时间: 345.0 ms, 访问时间: 0.7042346000671387 s
IP: 172.64.232.215, Ping时间: 400.0 ms, 访问时间: 0.7936809062957764 s
IP: 162.159.80.147, Ping时间: 361.0 ms, 访问时间: 0.7101118564605713 s
IP: 162.159.80.88, Ping时间: 359.0 ms, 访问时间: 0.7200467586517334 s
IP: 172.64.232.211, Ping时间: 357.0 ms, 访问时间: 0.7438299655914307 s
IP: 162.159.80.118, Ping时间: 361.0 ms, 访问时间: 0.702622652053833 s
IP: 162.159.80.16, Ping时间: 347.0 ms, 访问时间: 0.6972200870513916 s
IP: 162.159.80.58, Ping时间: 380.0 ms, 访问时间: 0.6957345008850098 s
IP: 162.159.80.33, Ping时间: 341.0 ms, 访问时间: 0.730475902557373 s
IP: 172.64.232.222, Ping时间: 346.0 ms, 访问时间: 0.6948978900909424 s
IP: 172.64.232.237, Ping时间: 358.0 ms, 访问时间: 1.0574216842651367 s
IP: 172.64.232.14, Ping时间: 344.0 ms, 访问时间: 0.8223156929016113 s
IP: 172.64.232.26, Ping时间: 365.0 ms, 访问时间: 1.6292169094085693 s
IP: 172.64.232.163, Ping时间: 396.0 ms, 访问时间: 0.7844195365905762 s
IP: 162.159.80.97, Ping时间: 392.0 ms, 访问时间: 0.749953031539917 s
IP: 162.159.80.216, Ping时间: 402.0 ms, 访问时间: 0.7760095596313477 s
IP: 162.159.80.227, Ping时间: 349.0 ms, 访问时间: 0.7756900787353516 s
IP: 172.64.232.253, Ping时间: 372.0 ms, 访问时间: 1.71140456199646 s
IP: 162.159.80.62, Ping时间: 359.0 ms, 访问时间: 1.7196393013000488 s
IP: 162.159.80.208, Ping时间: 382.0 ms, 访问时间: 0.7764143943786621 s
IP: 104.16.51.111, Ping时间: 65.4 ms, 访问时间: 0.13487815856933594 s
IP: 172.64.232.101, Ping时间: 350.0 ms, 访问时间: 0.7735610008239746 s
IP: 162.159.80.75, Ping时间: 368.0 ms, 访问时间: 1.7681214809417725 s
IP: 162.159.80.235, Ping时间: 388.0 ms, 访问时间: 0.7987794876098633 s
IP: 162.159.80.156, Ping时间: 357.0 ms, 访问时间: 0.7939050197601318 s
IP: 162.159.80.58, Ping时间: 370.0 ms, 访问时间: 0.6640570163726807 s
IP: 172.64.232.13, Ping时间: 366.0 ms, 访问时间: 0.7555458545684814 s
IP: 162.159.80.251, Ping时间: 357.0 ms, 访问时间: 1.0567035675048828 s
IP: 172.64.232.77, Ping时间: 356.0 ms, 访问时间: 1.7374184131622314 s
IP: 162.159.80.170, Ping时间: 359.0 ms, 访问时间: 0.7310976982116699 s
IP: 104.16.165.228, Ping时间: 62.9 ms, 访问时间: 0.1332850456237793 s
IP: 172.64.232.31, Ping时间: 364.0 ms, 访问时间: 1.696164608001709 s
IP: 172.64.232.180, Ping时间: 370.0 ms, 访问时间: 0.7936289310455322 s
IP: 172.64.232.168, Ping时间: 356.0 ms, 访问时间: 0.701448917388916 s
IP: 172.64.232.135, Ping时间: 356.0 ms, 访问时间: 0.7657022476196289 s
IP: 172.64.232.109, Ping时间: 384.0 ms, 访问时间: 0.7708790302276611 s
IP: 162.159.80.145, Ping时间: 372.0 ms, 访问时间: 0.7625622749328613 s
IP: 172.64.232.187, Ping时间: 380.0 ms, 访问时间: 0.7614598274230957 s
IP: 172.64.232.128, Ping时间: 368.0 ms, 访问时间: 0.7389438152313232 s
IP: 172.64.232.110, Ping时间: 392.0 ms, 访问时间: 0.7455523014068604 s
IP: 172.64.232.161, Ping时间: 365.0 ms, 访问时间: 0.7970626354217529 s
IP: 172.64.232.88, Ping时间: 348.0 ms, 访问时间: 0.7147839069366455 s
IP: 172.64.232.229, Ping时间: 389.0 ms, 访问时间: 0.7837319374084473 s
IP: 172.64.232.89, Ping时间: 374.0 ms, 访问时间: 0.7546901702880859 s
IP: 162.159.80.200, Ping时间: 386.0 ms, 访问时间: 0.7271544933319092 s
IP: 104.20.22.46, Ping时间: 63.3 ms, 访问时间: 0.13390588760375977 s
IP: 172.64.232.133, Ping时间: 344.0 ms, 访问时间: 0.7623856067657471 s
